ID,Name,Elo
619,Fresno Pacific,367.7796212743143
620,North Alabama,392.4236930078551
621,Rhodes,391.3191295868453
622,Cheyney St,391.5061692349829
623,St Rose,392.8735914273493
624,Allen,343.41291630318943
625,NM Highlands,391.8128905283185
626,Daniel Webster,377.3820311435327
627,Alfred St,391.8375560467327
628,Lyndon St,392.0455406705427
629,MT Tech,391.699077108782
630,St Joseph's NY,392.1610267568312
631,Albion,383.1958358496789
632,Rowan,384.5751215954609
633,Tabor,392.0579349922098
634,Baker KS,392.7054571057819
635,Paine,381.455874626764
636,Fisher,392.7436341617475
637,Texas Col,394.0018077016055
638,ME Ft Kent,392.74058364738926
639,Sarah Lawrence,392.9059614688149
640,Jackson State,405.34659513071006
641,Missouri State,377.1343395757266
642,Pennsylvania,366.8095331207565
643,Oregon Tech,392.25711983541015
644,Massachusetts-Lowell,351.7878449084309
645,Northern Illinois,440.68452356978094
646,Cal State Northridge,344.8596933322809
647,Saint Francis (PA),361.4589267156312
648,Oklahoma State,367.9274847095916
649,Tennessee-Martin,430.2937383173888
650,Saint Joseph's,533.5608622575975
651,Saint Mary's (CA),537.7487995468969
652,San Francisco State,392.0
653,San Diego State,516.0528130602502
654,Illinois State,442.4811148064437
655,Saint Peter's,386.75186362361086
656,American,373.3080515172445
657,North Carolina A&T,312.4632749291646
658,Rutgers-Newark,390.4564311785614
659,Jarvis Christian,372.7035569725197
660,Mississippi State,404.0399045470125
661,Eastern Washington,403.0062178808593
662,Boise State,453.4216850358438
663,Murray State,415.1511257398233
664,Morehead State,449.988716937973
665,Cincinnati Christian,392.0
666,Northern Michigan,392.2744761247385
667,Michigan State,571.1845515595179
668,Florida Atlantic,307.274369933117
669,Northwestern State,327.3509616712699
670,Missouri-Kansas City,355.49720398049493
671,North Carolina State,417.415147701646
672,New Mexico State,485.96267782780734
673,Houston Baptist,406.1628140494913
674,Minnesota-Morris,389.87362851840913
675,North Carolina-Wilmington,522.6452371555015
676,UC-Santa Barbara,449.2684315102365
677,Nebraska-Omaha,433.0887309836013
678,Lyndon State,392.8500812252202
679,Texas Southern,422.5520411763942
680,Nevada-Las Vegas,426.1278535597771
681,Cal Poly,341.04240467726095
682,Morgan State,321.0841183333629
683,Fairleigh Dickinson,421.5420548379663
684,Maryland-Baltimore County,288.94115459996897
685,Virginia Commonwealth,504.91591898183697
686,Monmouth,514.0159678942101
687,Wright State,469.5895020302647
688,Bristol University,384.7808742114122
689,Miami (OH),376.88890364191366
690,Western Illinois,357.7388125252228
691,Washington State,341.51357825685784
692,Utah State,410.2341903400476
693,Weber State,503.54779597429166
694,Wichita State,513.0716391530249
695,Charleston Southern,321.0621892637086
696,Northern Kentucky,331.2407403223352
697,South Dakota State,515.5839120636917
698,Chadron State,392.0
699,Southern California,473.88796691621496
700,Southern Illinois-Edwardsville,303.76932466300286
701,Arkansas State,337.7510281462565
702,Southern Illinois,458.5339368777581
703,Savannah State,396.01554522377336
704,Florida National University,392.0
705,Arkansas-Pine Bluff,287.61481092517863
706,Auburn Montgomery,374.49640089678434
707,South Carolina Upstate,332.09274359847274
708,North Carolina-Asheville,465.6923457993135
709,Texas Christian,365.0791269217982
710,Southeastern Louisiana,348.4558634609429
711,Texas A&M-Corpus Christi,509.3050713053113
712,Our Lady of the Lake,384.3212158282852
713,St. John's (NY),320.0849522345488
714,St. Bonaventure,499.8459918023474
715,Green Bay,482.2848689772555
716,Kean,383.8865381238917
717,Coastal Carolina,445.2516002112068
718,College of Charleston,415.2635006564876
719,South Carolina State,423.6202095771554
720,Southeast Missouri State,284.7491998331
721,Chicago State,257.36334576002304
722,Illinois Tech,392.0
723,North Carolina Central,348.0561778905569
724,Western Carolina,419.32738491720414
725,Eastern Kentucky,386.0369527372613
726,Coppin State,317.92899639696725
727,Eastern Michigan,432.0154608249549
728,Florida International,353.9519312618851
729,Trinity Baptist,367.7718919035301
730,Johnson University,388.6645359535697
731,Milwaukee,441.2280008467194
732,Delaware State,296.81202878673906
733,Simpson,382.7615840746028
734,Seton Hill,391.3271444367661
735,Central Michigan,428.1888874209304
736,Jacksonville State,311.7962808029891
737,Alabama-Birmingham,511.9544645493354
738,Stephen F. Austin,544.1247373299785
739,Trinity (FL),390.4054833619616
740,Kennesaw State,360.1098593128246
741,Abilene Christian,366.2445970812506
742,University of the Southwest,392.0
743,Sacramento State,376.3947366801935
744,Arizona State,412.5730966688802
745,Southern,440.9920057123042
746,North Dakota State,440.0973532148959
747,UC-Davis,354.3078925967699
748,UC-Irvine,495.71323371013824
749,UC-San Diego,392.0
750,Central Connecticut State,266.69754073726364
751,Montreat,372.64074749950674
752,University of California,513.6954644029151
753,Ball State,426.9887121135103
754,Brigham Young,490.44763119733017
755,Boston University,423.4246518009064
756,Pittsburgh-Bradford,394.1621310848723
757,Shenandoah,392.8471976264583
758,Covenant,389.736432959423
759,Randolph,390.5944834068047
760,Louisiana-Lafayette,421.3523020848943
761,Louisiana College,374.3716713104908
762,Louisiana State,461.6015171272661
763,McNeese State,328.83149808086466
764,Louisiana-Monroe,460.0076857472649
765,McMurry,392.0
766,Kansas State,424.4569740280775
767,Maryland-Eastern Shore,328.15025258333856
768,Iowa State,485.6537190248619
769,Northern Colorado,335.4528430419965
770,Austin College,392.09118870755344
771,Albany (NY),482.8657668374048
772,Mount St. Mary's,364.99025934880666
