playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary
dyeje01,4002,3,158,599,91,169,31,1,26,106.0,9.0,1.0,57,112.0,6.0,7.0,1.0,11.0,8.0,1974.0,1.0,28.0,USA,CA,Oakland,,,,,,,Jermaine,Dye,Jermaine Terrell,210.0,76.0,R,R,1996-05-17,2009-10-04,dye-j001,dyeje01,2002,OAK,AL,7166667
easleda01,2001,1,154,585,77,146,27,7,11,65.0,10.0,5.0,52,90.0,3.0,13.0,4.0,4.0,10.0,1969.0,11.0,11.0,USA,NY,New York,,,,,,,Damion,Easley,Jacinto Damion,155.0,71.0,R,R,1992-08-13,2008-09-28,easld001,easleda01,2002,DET,AL,6250000
eckstda01,2001,1,153,582,82,166,26,2,4,41.0,29.0,4.0,43,60.0,0.0,21.0,16.0,2.0,11.0,1975.0,1.0,20.0,USA,FL,Sanford,,,,,,,David,Eckstein,David Mark,170.0,66.0,R,R,2001-04-03,2010-10-03,ecksd001,eckstda01,2002,ANA,AL,280000
edmonji01,2001,1,150,500,95,152,38,1,30,110.0,5.0,5.0,93,136.0,12.0,4.0,1.0,10.0,8.0,1970.0,6.0,27.0,USA,CA,Fullerton,,,,,,,Jim,Edmonds,James Patrick,190.0,73.0,L,L,1993-09-09,2010-09-21,edmoj001,edmonji01,2002,SLN,NL,7333333
encarju01,2001,1,120,417,52,101,19,7,12,52.0,9.0,5.0,25,93.0,1.0,6.0,5.0,4.0,9.0,1976.0,3.0,8.0,D.R.,San Juan,Las Matas de Farfan,,,,,,,Juan,Encarnacion,Juan de Dios,160.0,74.0,R,R,1997-09-02,2007-08-30,encaj001,encarju01,2002,CIN,NL,1550000
erstada01,2001,1,157,631,89,163,35,1,9,63.0,24.0,10.0,62,113.0,7.0,10.0,1.0,7.0,8.0,1974.0,6.0,4.0,USA,ND,Jamestown,,,,,,,Darin,Erstad,Darin Charles,195.0,74.0,L,L,1996-06-14,2009-10-04,erstd001,erstada01,2002,ANA,AL,6250000
evereca01,2001,1,102,409,61,105,24,4,14,58.0,9.0,2.0,27,104.0,3.0,13.0,0.0,0.0,3.0,1971.0,6.0,3.0,USA,FL,Tampa,,,,,,,Carl,Everett,Carl Edward,181.0,72.0,B,R,1993-07-01,2006-07-25,everc001,evereca01,2002,TEX,AL,8666666
fickro01,2001,1,124,401,62,109,21,2,19,61.0,0.0,3.0,39,62.0,3.0,4.0,0.0,4.0,10.0,1974.0,3.0,15.0,USA,CA,Torrance,,,,,,,Robert,Fick,Robert Charles John,189.0,73.0,L,R,1998-09-19,2007-09-29,fickr001,fickro01,2002,DET,AL,1150000
finlest01,2001,1,140,495,66,136,27,4,14,73.0,11.0,7.0,47,67.0,9.0,1.0,2.0,3.0,8.0,1965.0,3.0,12.0,USA,TN,Union City,,,,,,,Steve,Finley,Steven Allen,175.0,74.0,L,L,1989-04-03,2007-06-03,finls001,finlest01,2002,ARI,NL,5375000
fletcda01,2001,1,134,416,36,94,20,0,11,56.0,0.0,1.0,24,43.0,4.0,6.0,1.0,6.0,18.0,1966.0,10.0,3.0,USA,IL,Elmhurst,,,,,,,Darrin,Fletcher,Darrin Glen,195.0,74.0,L,R,1989-09-10,2002-07-16,fletd001,fletcda01,2002,TOR,AL,3825000
floydcl01,2001,1,149,555,123,176,44,4,31,103.0,18.0,3.0,59,101.0,19.0,10.0,0.0,5.0,9.0,1972.0,12.0,5.0,USA,IL,Chicago,,,,,,,Cliff,Floyd,Cornelius Clifford,220.0,77.0,L,R,1993-09-18,2009-06-17,floyc001,floydcl01,2002,FLO,NL,6500000
frymatr01,2001,1,98,334,34,88,15,0,3,38.0,1.0,2.0,30,63.0,1.0,3.0,0.0,3.0,8.0,1969.0,3.0,25.0,USA,KY,Lexington,,,,,,,Travis,Fryman,David Travis,180.0,73.0,R,R,1990-07-07,2002-09-29,frymt001,frymatr01,2002,CLE,AL,5825000
fullmbr01,2001,1,146,522,71,143,31,2,18,83.0,5.0,2.0,38,88.0,8.0,6.0,0.0,7.0,13.0,1975.0,1.0,17.0,USA,CA,Chatsworth,,,,,,,Brad,Fullmer,Bradley Ryan,185.0,73.0,L,R,1997-09-02,2004-07-24,fullb001,fullmbr01,2002,ANA,AL,4000000
furcara01,2001,1,79,324,39,89,19,0,4,30.0,22.0,6.0,24,56.0,1.0,1.0,4.0,6.0,5.0,1977.0,10.0,24.0,D.R.,Dajabon,Loma de Cabrera,,,,,,,Rafael,Furcal,Rafael,195.0,68.0,B,R,2000-04-04,2014-06-21,furcr001,furcara02,2002,ATL,NL,405000
galaran01,4002,3,121,399,50,102,28,1,17,69.0,1.0,3.0,31,117.0,2.0,12.0,0.0,3.0,12.0,1961.0,6.0,18.0,Venezuela,Distrito Federal,Caracas,,,,,,,Andres,Galarraga,Andres Jose,235.0,75.0,R,R,1985-08-23,2004-10-03,galaa001,galaran01,2002,MON,NL,500000
giambja01,2001,1,154,520,109,178,47,2,38,120.0,2.0,0.0,129,83.0,24.0,13.0,0.0,9.0,17.0,1971.0,1.0,8.0,USA,CA,West Covina,,,,,,,Jason,Giambi,Jason Gilbert,240.0,75.0,L,R,1995-05-08,2014-09-27,giamj001,giambja01,2002,NYA,AL,10428571
giambje01,2001,1,124,371,64,105,26,0,12,57.0,0.0,1.0,63,83.0,1.0,4.0,3.0,2.0,13.0,1974.0,9.0,30.0,USA,CA,San Jose,,,,,,,Jeremy,Giambi,Jeremy Dean,185.0,72.0,L,L,1998-09-01,2003-08-01,giamj002,giambje01,2002,OAK,AL,1065000
gilesbr02,2001,1,160,576,116,178,37,7,37,95.0,13.0,6.0,90,67.0,14.0,4.0,0.0,4.0,10.0,1971.0,1.0,20.0,USA,CA,El Cajon,,,,,,,Brian,Giles,Brian Stephen,195.0,71.0,L,L,1995-09-16,2009-06-18,gileb002,gilesbr02,2002,PIT,NL,8063003
