playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary,BA,OBP
ramirar01,2001,1,158,603,83,181,40,0,34,112.0,5.0,4.0,40,100.0,4.0,8.0,0.0,4.0,9.0,1978.0,6.0,25.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Aramis,Ramirez,Aramis,205.0,73.0,R,R,1998-05-26,2015-10-03,ramia001,ramirar01,2002,PIT,NL,500000,0.3001658374792703,0.349618320610687
fickro01,2001,1,124,401,62,109,21,2,19,61.0,0.0,3.0,39,62.0,3.0,4.0,0.0,4.0,10.0,1974.0,3.0,15.0,USA,CA,Torrance,,,,,,,Robert,Fick,Robert Charles John,189.0,73.0,L,R,1998-09-19,2007-09-29,fickr001,fickro01,2002,DET,AL,1150000,0.2718204488778055,0.3392857142857143
winnra01,2001,1,128,429,54,117,25,6,6,50.0,12.0,10.0,38,81.0,0.0,6.0,5.0,2.0,10.0,1974.0,6.0,9.0,USA,CA,Los Angeles,,,,,,,Randy,Winn,Dwight Randolph,175.0,74.0,B,R,1998-05-11,2010-10-03,winnr001,winnra01,2002,TBA,AL,960000,0.2727272727272727,0.3389473684210526
davisbe01,2001,1,138,448,56,107,20,0,11,57.0,4.0,4.0,66,112.0,5.0,4.0,1.0,7.0,13.0,1977.0,3.0,10.0,USA,PA,Chester,,,,,,,Ben,Davis,Mark Christopher,195.0,76.0,B,R,1998-09-25,2004-10-03,davib003,davisbe01,2002,SEA,AL,350000,0.2388392857142857,0.3371428571428571
anderma02,2001,1,147,522,69,153,30,2,11,61.0,8.0,5.0,35,74.0,5.0,2.0,10.0,5.0,12.0,1974.0,1.0,6.0,USA,AL,Montgomery,,,,,,,Marlon,Anderson,Marlon Ordell,190.0,70.0,L,R,1998-09-08,2009-04-10,andem003,anderma02,2002,PHI,NL,400000,0.293103448275862,0.3368794326241134
richach01,2001,1,136,483,74,128,31,3,15,61.0,11.0,9.0,45,100.0,4.0,8.0,2.0,4.0,15.0,1974.0,6.0,7.0,USA,CA,San Diego,,,,,,,Chris,Richard,Christopher Robert,185.0,74.0,L,L,2000-07-17,2009-10-04,richc001,richach01,2002,BAL,AL,300000,0.2650103519668737,0.3351851851851852
longte01,2001,1,162,629,90,178,37,4,12,85.0,9.0,3.0,52,103.0,8.0,0.0,0.0,6.0,17.0,1976.0,2.0,29.0,USA,AL,Montgomery,,,,,,,Terrence,Long,Terrence Deon,190.0,73.0,L,L,1999-04-14,2006-06-05,longt002,longte01,2002,OAK,AL,675000,0.2829888712241653,0.3347889374090247
jonesja04,2001,1,149,475,57,131,25,0,14,49.0,12.0,9.0,39,92.0,2.0,3.0,2.0,0.0,10.0,1975.0,4.0,25.0,USA,CA,San Diego,,,,,,,Jacque,Jones,Jacque Dewayne,175.0,70.0,L,L,1999-06-09,2008-06-10,jonej003,jonesja05,2002,MIN,AL,312500,0.2757894736842105,0.3346228239845261
riosar01,4002,3,95,319,38,83,17,3,14,50.0,3.0,2.0,36,74.0,6.0,0.0,1.0,3.0,3.0,1971.0,9.0,13.0,P.R.,,Santurce,,,,,,,Armando,Rios,Armando,180.0,69.0,L,L,1998-09-01,2003-09-27,riosa001,riosar01,2002,PIT,NL,925000,0.2601880877742947,0.3324022346368715
morame01,2001,1,128,436,49,109,28,0,7,48.0,11.0,4.0,41,91.0,2.0,14.0,5.0,7.0,6.0,1972.0,2.0,2.0,Venezuela,Yaracuy,Agua Negra,,,,,,,Melvin,Mora,Melvin,200.0,71.0,R,R,1999-05-30,2011-06-29,moram002,morame01,2002,BAL,AL,350000,0.25,0.3293172690763052
abernbr01,2001,1,79,304,43,82,17,1,5,33.0,8.0,3.0,27,35.0,1.0,0.0,3.0,1.0,3.0,1977.0,9.0,23.0,USA,GA,Atlanta,,,,,,,Brent,Abernathy,Michael Brent,185.0,73.0,R,R,2001-06-25,2005-09-29,aberb001,abernbr01,2002,TBA,AL,215000,0.2697368421052631,0.3283132530120481
diazei01,2001,1,134,437,54,121,34,1,4,56.0,1.0,2.0,17,44.0,0.0,16.0,8.0,0.0,11.0,1972.0,12.0,28.0,Panama,Chiriqui,Chiriqui,,,,,,,Einar,Diaz,Einar Antonio,165.0,70.0,R,R,1996-09-09,2006-09-16,diaze002,diazei01,2002,CLE,AL,1087500,0.2768878718535469,0.3276595744680851
